朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
东,中楼层(共16层) 1992年建塔楼,近30天内成交,下载APP查看成交>,4**,挂牌560万,东城,安定门,其他,有电梯,六铺炕,2室1厅,54.99
东 西,地下室(共6层) 1995年建板楼,近30天内成交,下载APP查看成交>,3**,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,52.75
西,顶层(共16层) 1992年建塔楼,近30天内成交,下载APP查看成交>,4**,房屋满五年,东城,安定门,简装,有电梯,六铺炕,1室1厅,43.21
东,中楼层(共6层) 1980年建板楼,近30天内成交,下载APP查看成交>,4**,房屋满五年,东城,安定门,简装,无电梯,六铺炕,2室1厅,50.34
东南,低楼层(共6层) 1983年建板楼,近30天内成交,下载APP查看成交>,7**,房屋满五年,东城,安定门,精装,无电梯,安德里北街24号院,3室1厅,67.82
东,中楼层(共10层) 2001年建板楼,近30天内成交,下载APP查看成交>,7**,房屋满五年,东城,安定门,精装,有电梯,安德路乙61号院,2室1厅,83.42
东,中楼层(共5层) 1986年建板楼,近30天内成交,下载APP查看成交>,5**,房屋满五年,东城,安定门,简装,无电梯,花园胡同8号院,2室1厅,49.29
南,中楼层(共18层) 1988年建塔楼,近30天内成交,下载APP查看成交>,4**,近地铁,东城,安定门,简装,有电梯,上龙西里,1室1厅,48.39
南 北,底层(共7层) 2002年建板楼,近30天内成交,下载APP查看成交>,8**,房屋满五年,东城,安定门,简装,无电梯,永康胡同1号院,3室1厅,84.5
东,低楼层(共16层) 2003年建塔楼,2019.02,,,房屋满五年,东城,安定门,精装,有电梯,华府景园,2室1厅,75.25
东北,高楼层(共16层) 1992年建塔楼,2019.01.31,100534,660,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,3室1厅,65.65
南,高楼层(共16层) 1992年建塔楼,2019.01.30,98361,606,挂牌642万,东城,安定门,简装,有电梯,六铺炕,2室1厅,61.61
东 西,高楼层(共6层) 1988年建板楼,2019.01.29,82718,470,房屋满五年,东城,安定门,简装,无电梯,安外大街3号院,2室1厅,56.82
南,高楼层(共6层) 1985年建板楼,2019.01.28,120348,485,房屋满五年,东城,安定门,简装,,中绦胡同甲2号院,1室1厅,40.3
南 北,高楼层(共6层) 1994年建板楼,2019.01.27,92321,565,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,61.2
南 北,底层(共5层) 1980年建板楼,2019.01.26,92826,502,近地铁,东城,安定门,简装,无电梯,安德路47号院,2室1厅,54.08
东 西,低楼层(共6层) 1986年建板楼,2019.01.26,95034,685,房屋满两年,东城,安定门,简装,无电梯,花园胡同,3室1厅,72.08
南 北,中楼层(共5层) 1980年建板楼,2019.01.25,89264,587,近地铁,东城,安定门,简装,无电梯,青年湖东里,3室1厅,65.76
东 西,底层(共6层) 1980年建板楼,2019.01.24,89529,625,房屋满五年,东城,安定门,简装,无电梯,六铺炕,3室1厅,69.81
西,中楼层(共19层) 2006年建塔楼,2019.01.23,86349,735,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,85.12
东 西,中楼层(共10层) 1980年建板塔结合,2019.01.23,95504,650,房屋满五年,东城,安定门,精装,有电梯,六铺炕,3室1厅,68.06
西北,中楼层(共4层) 1977年建板楼,2019.01.22,82873,405,房屋满五年,东城,安定门,简装,,安德路55号院,2室1厅,48.87
东 西,中楼层(共6层) 1992年建板楼,2019.01.22,80842,519,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,2室1厅,64.2
西北,高楼层(共12层) 1989年建板楼,2019.01.19,89480,495,房屋满五年,东城,安定门,其他,有电梯,安德路乙61号院,2室1厅,55.32
南 西 北,中楼层(共6层) 1985年建板楼,2019.01.19,92664,605,房屋满五年,东城,安定门,精装,无电梯,安外西河沿,2室1厅,65.29
西,低楼层(共6层) 1988年建板楼,2019.01.18,85022,428,房屋满五年,东城,安定门,精装,无电梯,安外大街3号院,1室1厅,50.34
东 西,中楼层(共12层) 1994年建板楼,2019.01.16,67801,1100,房屋满五年,东城,安定门,精装,有电梯,京宝花园,2室1厅,162.24
东 西,中楼层(共6层) 1988年建板楼,2019.01.15,85947,529,房屋满两年,东城,安定门,精装,无电梯,安德路47号院,2室1厅,61.55
东北,高楼层(共11层) 1983年建板楼,2019.01.15,83059,580,房屋满五年,东城,安定门,精装,有电梯,安外西河沿,2室1厅,69.83
